term,cleaned_pinyin,updated_pinyin,status
要言不烦,yàoyán bùfán,yào yán bù fán,success
绳梯,shéngtī,shéng tī,success
害人虫,hàirénchóng,hài rén chóng,success
船篷,chuánpéng,chuán péng,success
雅意,yǎyì,yǎ yì,success
套索,tàosuǒ,tào suǒ,success
代食品,dàishípǐn,dài shí pǐn,success
酸牛奶,suānniúnǎi,suān niú nǎi,success
燃爆,ránbào,rán bào,success
老大不小,lǎodà bùxiǎo,lǎo dà bù xiǎo,success
杀人不见血,shārén bù jiàn xiě,shā rén bù jiàn xiě,success
玉洁冰清,yùjié bīngqīng,yù jié bīng qīng,success
贴本儿,tiēběnr,tiē běn er,success
专座,zhuānzuò,zhuān zuò,success
发酒疯,fājiǔfēng,fā jiǔ fēng,success
负荆请罪,fùjīng qǐngzuì,fù jīng qǐng zuì,success
闲愁,xiánchóu,xián chóu,success
电子垃圾,diànzǐ lājī,diàn zǐ lā jī,success
一通百通,yītōng bǎitōng,yī tōng bǎi tōng,success
毛片,máopiàn,máo piàn,success
憋屈,biēqu,biē qu,success
唇吻,chúnwěn,chún wěn,success
松紧带,sōngjǐndài,sōng jǐn dài,success
厌恨,yànhèn,yàn hèn,success
倒垂,dàochuí,dào chuí,success
笔立,bǐlì,bǐ lì,success
辔头,pèitóu,pèi tóu,success
匀净,yúnjing,yún jing,success
量杯,liángbēi,liáng bēi,success
清涟,qīnglián,qīng lián,success
要账,yàozhàng,yào zhàng,success
谎骗,huǎngpiàn,huǎng piàn,success
矿源,kuàngyuán,kuàng yuán,success
扭摆,niǔbǎi,niǔ bǎi,success
近体诗,jìntǐshī,jìn tǐ shī,success
吃客,chīkè,chī kè,success
抽测,chōucè,chōu cè,success
墙裙,qiángqún,qiáng qún,success
初生之犊,chūshēngzhīdú,chū shēng zhī dú,success
栓剂,shuānjì,shuān jì,success
飞针走线,fēizhēn zǒuxiàn,fēi zhēn zǒu xiàn,success
竹纸,zhúzhǐ,zhú zhǐ,success
绝早,juézǎo,jué zǎo,success
海兽,hǎishòu,hǎi shòu,success
闲职,xiánzhí,xián zhí,success
窥察,kuīchá,kuī chá,success
折本,shéběn,shé běn,success
熟土,shútǔ,shú tǔ,success
养息,yǎngxī,yǎng xī,success
酱豆腐,jiàngdòufu,jiàng dòu fu,success
导诊,dǎozhěn,dǎo zhěn,success
管中窥豹,guǎnzhōng kuībào,guǎn zhōng kuī bào,success
笨伯,bènbó,bèn bó,success
尾大不掉,wěidà bùdiào,wěi dà bù diào,success
武丑,wǔchǒu,wǔ chǒu,success
艺术照,yìshùzhào,yì shù zhào,success
死脑筋,sǐnǎojīn,sǐ nǎo jīn,success
抽缩,chōusuō,chōu suō,success
翻晒,fānshài,fān shài,success
耳生,ěrshēng,ěr shēng,success
流徙,liúxǐ,liú xǐ,success
呵责,hēzé,hē zé,success
叠韵,diéyùn,dié yùn,success
臀尖,túnjiān,tún jiān,success
脑满肠肥,nǎomǎn chángféi,nǎo mǎn cháng féi,success
风纪扣,fēngjìkòu,fēng jì kòu,success
小舌,xiǎoshé,xiǎo shé,success
摸奖,mōjiǎng,mō jiǎng,success
挂锁,guàsuǒ,guà suǒ,success
骨膜,gǔmó,gǔ mó,success
甩包袱,shuǎibāofu,shuǎi bāo fu,success
鸡毛掸子,jīmáo dǎnzi,jī máo dǎn zi,success
下车伊始,xiàchē yīshǐ,xià chē yī shǐ,success
蒲剧,pújù,pú jù,success
犍牛,jiānniú,jiān niú,success
野蔷薇,yěqiángwēi,yě qiáng wēi,success
天作之合,tiānzuòzhīhé,tiān zuò zhī hé,success
训条,xùntiáo,xùn tiáo,success
早霜,zǎoshuāng,zǎo shuāng,success
黄色炸药,huángsè zhàyào,huáng sè zhà yào,success
横生枝节,héngshēng zhījié,héng shēng zhī jié,success
癞皮狗,làipígǒu,lài pí gǒu,success
濯濯,zhuózhuó,zhuó zhuó,success
耍滑头,shuǎhuátóu,shuǎ huá tóu,success
潜航,qiánháng,qián háng,success
言之有据,yánzhīyǒujù,yán zhī yǒu jù,success
宽展,kuānzhǎn,kuān zhǎn,success
胖嘟嘟,pàngdūdū,pàng dū dū,success
签筒,qiāntǒng,qiān tǒng,success
摄生,shèshēng,shè shēng,success
冲要,chōngyào,chōng yào,success
树墩,shùdūn,shù dūn,success
鲜润,xiānrùn,xiān rùn,success
赞礼,zànlǐ,zàn lǐ,success
汇寄,huìjì,huì jì,success
清漆,qīngqī,qīng qī,success
露白,lòubái,lòu bái,success
失着,shīzhāo,shī zhāo,success
秋衣,qiūyī,qiū yī,success
忠直,zhōngzhí,zhōng zhí,success
阳寿,yángshòu,yáng shòu,success
耕畜,gēngchù,gēng chù,success
一路货,yīlùhuò,yī lù huò,success
休班,xiūbān,xiū bān,success
宗主权,zōngzhǔquán,zōng zhǔ quán,success
站哨,zhànshào,zhàn shào,success
茶褐色,cháhèsè,chá hè sè,success
出亡,chūwáng,chū wáng,success
死面,sǐmiàn,sǐ miàn,success
泰山北斗,tàishān běidǒu,tài shān běi dǒu,success
贝雕,bèidiāo,bèi diāo,success
绵纸,miánzhǐ,mián zhǐ,success
高爽,gāoshuǎng,gāo shuǎng,success
不粘锅,bùzhānguō,bù zhān guō,success
两面三刀,liǎngmiàn sāndāo,liǎng miàn sān dāo,success
官差,guānchāi,guān chāi,success
棠棣,tángdì,táng dì,success
瘦猴儿,shòuhóur,shòu hóu er,success
闹洞房,nàodòngfáng,nào dòng fáng,success
打闪,dǎshǎn,dǎ shǎn,success
黑貂,hēidiāo,hēi diāo,success
梦遗,mèngyí,mèng yí,success
脂膏,zhīgāo,zhī gāo,success
钝器,dùnqì,dùn qì,success
打样,dǎyàng,dǎ yàng,success
沉雷,chénléi,chén léi,success
骑墙,qíqiáng,qí qiáng,success
腹诽,fùfěi,fù fěi,success
鸡血藤,jīxuèténg,jī xuè téng,success
短装,duǎnzhuāng,duǎn zhuāng,success
谈笑自若,tánxiào zìruò,tán xiào zì ruò,success
凉帽,liángmào,liáng mào,success
款留,kuǎnliú,kuǎn liú,success
发傻,fāshǎ,fā shǎ,success
紫药水,zǐyàoshuǐ,zǐ yào shuǐ,success
探胜,tànshèng,tàn shèng,success
吱扭,zhīniū,zhī niū,success
溜索,liūsuǒ,liū suǒ,success
螺号,luóhào,luó hào,success
山岚,shānlán,shān lán,success
改调,gǎidiào,gǎi diào,success
然诺,ránnuò,rán nuò,success
遮丑,zhēchǒu,zhē chǒu,success
冥府,míngfǔ,míng fǔ,success
跑旱船,pǎohànchuán,pǎo hàn chuán,success
优容,yōuróng,yōu róng,success
八音盒,bāyīnhé,bā yīn hé,success
阿昌族,āchāngzú,ā chāng zú,success
义母,yìmǔ,yì mǔ,success
拒敌,jùdí,jù dí,success
市尺,shìchǐ,shì chǐ,success
递眼色,dìyǎnsè,dì yǎn sè,success
告缺,gàoquē,gào quē,success
芳馨,fāngxīn,fāng xīn,success
侮慢,wǔmàn,wǔ màn,success
败毒,bàidú,bài dú,success
哥老会,gēlǎohuì,gē lǎo huì,success
簿册,bùcè,bù cè,success
彗尾,huìwěi,huì wěi,success
涉讼,shèsòng,shè sòng,success
逸趣,yìqù,yì qù,success
豪语,háoyǔ,háo yǔ,success
扔弃,rēngqì,rēng qì,success
电键,diànjiàn,diàn jiàn,success
步哨,bùshào,bù shào,success
欺生,qīshēng,qī shēng,success
炉门,lúmén,lú mén,success
琴弓,qíngōng,qín gōng,success
桥拱,qiáogǒng,qiáo gǒng,success
窗幔,chuāngmàn,chuāng màn,success
囚衣,qiúyī,qiú yī,success
回拜,huíbài,huí bài,success
虚礼,xūlǐ,xū lǐ,success
徽墨,huīmò,huī mò,success
聘金,pìnjīn,pìn jīn,success
失密,shīmì,shī mì,success
空谷足音,kōnggǔ zúyīn,kōng gǔ zú yīn,success
一脉相通,yīmài xiāngtōng,yī mài xiāng tōng,success
抽选,chōuxuǎn,chōu xuǎn,success
祖产,zǔchǎn,zǔ chǎn,success
笔算,bǐsuàn,bǐ suàn,success
耳子,ěrzi,ěr zi,success
呼啦圈,hūlāquān,hū lā quān,success
体念,tǐniàn,tǐ niàn,success
曾孙女,zēngsūnnǚ,zēng sūn nǚ,success
出乖露丑,chūguāi lùchǒu,chū guāi lù chǒu,success
刮地皮,guādìpí,guā dì pí,success
验查,yànchá,yàn chá,success
幼雏,yòuchú,yòu chú,success
眉峰,méifēng,méi fēng,success
防皱,fángzhòu,fáng zhòu,success
围裹,wéiguǒ,wéi guǒ,success
立此存照,lìcǐ cúnzhào,lì cǐ cún zhào,success
藕荷,ǒuhé,ǒu hé,success
漆树,qīshù,qī shù,success
牙具,yájù,yá jù,success
捧角,pěngjué,pěng jué,success
烧卖,shāomai,shāo mai,success
领读,lǐngdú,lǐng dú,success
失语症,shīyǔzhèng,shī yǔ zhèng,success
凶横,xiōnghèng,xiōng hèng,success
场屋,chángwū,cháng wū,success
孵育,fūyù,fū yù,success
凶气,xiōngqì,xiōng qì,success
歇凉,xiēliáng,xiē liáng,success
逃婚,táohūn,táo hūn,success
花砖,huāzhuān,huā zhuān,success
爽身粉,shuǎngshēnfěn,shuǎng shēn fěn,success
舛误,chuǎnwù,chuǎn wù,success
熟铁,shútiě,shú tiě,success
子囊,zǐnáng,zǐ náng,success
喜娘,xǐniáng,xǐ niáng,success
溜号,liūhào,liū hào,success
撼天动地,hàntiān dòngdì,hàn tiān dòng dì,success
平角,píngjiǎo,píng jiǎo,success
贺仪,hèyí,hè yí,success
吃重,chīzhòng,chī zhòng,success
鲁钝,lǔdùn,lǔ dùn,success
优选法,yōuxuǎnfǎ,yōu xuǎn fǎ,success
游戏卡,yóuxìkǎ,yóu xì kǎ,success
珍珠贝,zhēnzhūbèi,zhēn zhū bèi,success
脑体倒挂,nǎotǐ dàoguà,nǎo tǐ dào guà,success
退庭,tuìtíng,tuì tíng,success
抽成,chōuchéng,chōu chéng,success
瓷釉,cíyòu,cí yòu,success
唱碟,chàngdié,chàng dié,success
冬练,dōngliàn,dōng liàn,success
无头案,wútóu àn,wú tóu àn,success
酒逢知己,jiǔféngzhījǐ,jiǔ féng zhī jǐ,success
不冻港,bùdònggǎng,bù dòng gǎng,success
挡泥板,dǎngníbǎn,dǎng ní bǎn,success
避乱,bìluàn,bì luàn,success
滚雷,gǔnléi,gǔn léi,success
三好生,sānhǎoshēng,sān hǎo shēng,success
条绒,tiáoróng,tiáo róng,success
削职,xuēzhí,xuē zhí,success
沉鱼落雁,chényú luòyàn,chén yú luò yàn,success
溜冰鞋,liūbīngxié,liū bīng xié,success
凤尾竹,fèngwěizhú,fèng wěi zhú,success
播扬,bōyáng,bō yáng,success
铁板钉钉,tiěbǎn dìngdīng,tiě bǎn dìng dīng,success
薄脆,báocuì,báo cuì,success
技痒,jìyǎng,jì yǎng,success
私念,sīniàn,sī niàn,success
接穗,jiēsuì,jiē suì,success
白铁皮,báitiěpí,bái tiě pí,success
豆酱,dòujiàng,dòu jiàng,success
雅言,yǎyán,yǎ yán,success
线毯,xiàntǎn,xiàn tǎn,success
私见,sījiàn,sī jiàn,success
胖墩墩,pàngdūndūn,pàng dūn dūn,success
上岁数,shàngsuìshu,shàng suì shu,success
泛读,fàndú,fàn dú,success
圆领衫,yuánlǐngshān,yuán lǐng shān,success
粉团,fěntuán,fěn tuán,success
横眉怒目,héngméi nùmù,héng méi nù mù,success
狂烈,kuángliè,kuáng liè,success
红区,hóngqū,hóng qū,success
猎潜艇,lièqiántǐng,liè qián tǐng,success
板刷,bǎnshuā,bǎn shuā,success
宫刑,gōngxíng,gōng xíng,success
选场,xuǎnchǎng,xuǎn chǎng,success
诱供,yòugòng,yòu gòng,success
叹赏,tànshǎng,tàn shǎng,success
麦饭石,màifànshí,mài fàn shí,success
瓶胆,píngdǎn,píng dǎn,success
大丽花,dàlìhuā,dà lì huā,success
藏蓝,zànglán,zàng lán,success
苗床,miáochuáng,miáo chuáng,success
油汪汪,yóuwāngwāng,yóu wāng wāng,success
保不定,bǎobudìng,bǎo bu dìng,success
洪炉,hónglú,hóng lú,success
牛郎星,niúlángxīng,niú láng xīng,success
搞头,gǎotou,gǎo tou,success
鬓毛,bìnmáo,bìn máo,success
裹脚布,guǒjiǎobù,guǒ jiǎo bù,success
师道尊严,shīdào zūnyán,shī dào zūn yán,success
塘堰,tángyàn,táng yàn,success
初级社,chūjíshè,chū jí shè,success
舆图,yútú,yú tú,success
芜菁,wújīng,wú jīng,success
照葫芦画瓢,zhào húlu huà piáo,zhào hú lu huà piáo,success
虎步,hǔbù,hǔ bù,success
贿买,huìmǎi,huì mǎi,success
霸王鞭,bàwángbiān,bà wáng biān,success
掉色,diàoshǎi,diào shǎi,success
窃据,qièjù,qiè jù,success
动刑,dòngxíng,dòng xíng,success
塘泥,tángní,táng ní,success
胎位,tāiwèi,tāi wèi,success
算尺,suànchǐ,suàn chǐ,success
伺弄,cìnòng,cì nòng,success
号筒,hàotǒng,hào tǒng,success
翻悔,fānhuǐ,fān huǐ,success
朔日,shuòrì,shuò rì,success
水泽,shuǐzé,shuǐ zé,success
麸子,fūzi,fū zi,success
黑不溜秋,hēibuliūqiū,hēi bu liū qiū,success
孀妇,shuāngfù,shuāng fù,success
缸瓦,gāngwǎ,gāng wǎ,success
石锁,shísuǒ,shí suǒ,success
失音,shīyīn,shī yīn,success
走避,zǒubì,zǒu bì,success
失收,shīshōu,shī shōu,success
色酒,shǎijiǔ,shǎi jiǔ,success
砖茶,zhuānchá,zhuān chá,success
何罪之有,hézuìzhīyǒu,hé zuì zhī yǒu,success
纱罩,shāzhào,shā zhào,success
沙果,shāguǒ,shā guǒ,success
塞牙,sāiyá,sāi yá,success
汉显,hànxiǎn,hàn xiǎn,success
反求诸己,fǎnqiúzhūjǐ,fǎn qiú zhū jǐ,success
发蜡,fàlà,fà là,success
非驴非马,fēilǘ fēimǎ,fēi lǘ fēi mǎ,success
全份,quánfèn,quán fèn,success
水滴石穿,shuǐdī shíchuān,shuǐ dī shí chuān,success
生态科学,shēngtài kēxué,shēng tài kē xué,success
小循环,xiǎoxúnhuán,xiǎo xún huán,success
人体炸弹,réntǐ zhàdàn,rén tǐ zhà dàn,success
玻璃丝,bōlisī,bō li sī,success
烟屁股,yānpìgu,yān pì gu,success
白粉病,báifěnbìng,bái fěn bìng,success
一米线,yīmǐxiàn,yī mǐ xiàn,success
游艺会,yóuyìhuì,yóu yì huì,success
玉米螟,yùmǐmíng,yù mǐ míng,success
打板子,dǎbǎnzi,dǎ bǎn zi,success
月亮门,yuèliangmén,yuè liang mén,success
接生员,jiēshēngyuán,jiē shēng yuán,success
换气扇,huànqìshàn,huàn qì shàn,success
迷魂汤,míhúntāng,mí hún tāng,success
旱鸭子,hànyāzi,hàn yā zi,success
侠肝义胆,xiágān yìdǎn,xiá gān yì dǎn,success
光污染,guāngwūrǎn,guāng wū rǎn,success
拿腔拿调,náqiāng nádiào,ná qiāng ná diào,success
搭伴,dābàn,dā bàn,success
够瞧的,gòuqiáode,gòu qiáo de,success
冬不拉,dōngbùlā,dōng bù lā,success
不尴不尬,bùgān bùgà,bù gān bù gà,success
文抄公,wénchāogōng,wén chāo gōng,success
正课,zhèngkè,zhèng kè,success
裸眼,luǒyǎn,luǒ yǎn,success
客饭,kèfàn,kè fàn,success
骒马,kèmǎ,kè mǎ,success
折页,zhéyè,zhé yè,success
空乏,kōngfá,kōng fá,success
口谕,kǒuyù,kǒu yù,success
唱独角戏,chàngdújiǎoxì,chàng dú jiǎo xì,success
防疫针,fángyìzhēn,fáng yì zhēn,success
无事不登三宝殿,wúshì bù dēng sānbǎodiàn,wú shì bù dēng sān bǎo diàn,success
境域,jìngyù,jìng yù,success
杳如黄鹤,yǎorúhuánghè,yǎo rú huáng hè,success
龙柏,lóngbǎi,lóng bǎi,success
韵调,yùndiào,yùn diào,success
扩印,kuòyìn,kuò yìn,success
硝化甘油,xiāohuà gānyóu,xiāo huà gān yóu,success
赶庙会,gǎnmiàohuì,gǎn miào huì,success
妙品,miàopǐn,miào pǐn,success
白驹过隙,báijū guòxì,bái jū guò xì,success
灵床,língchuáng,líng chuáng,success
娱悦,yúyuè,yú yuè,success
冷峭,lěngqiào,lěng qiào,success
杯中物,bēizhōngwù,bēi zhōng wù,success
安步当车,ānbù dàngchē,ān bù dàng chē,success
疑兵,yíbīng,yí bīng,success
辩手,biànshǒu,biàn shǒu,success
一字千金,yīzì qiānjīn,yī zì qiān jīn,success
一无所求,yīwúsuǒqiú,yī wú suǒ qiú,success
一时半刻,yīshí bànkè,yī shí bàn kè,success
奸党,jiāndǎng,jiān dǎng,success
一石二鸟,yīshí èrniǎo,yī shí èr niǎo,success
眷眷,juànjuàn,juàn juàn,success
披红挂绿,pīhóng guàlǜ,pī hóng guà lǜ,success
摆荡,bǎidàng,bǎi dàng,success
邪门歪道,xiémén wāidào,xié mén wāi dào,success
鸭肫,yāzhūn,yā zhūn,success
喧扰,xuānrǎo,xuān rǎo,success
财迷心窍,cáimíxīnqiào,cái mí xīn qiào,success
虚耗,xūhào,xū hào,success
采择,cǎizé,cǎi zé,success
菜圃,càipǔ,cài pǔ,success
残虐,cánnüè,cán nüè,success
百儿八十,bǎi er bāshí,bǎi er bā shí,success
惨杀,cǎnshā,cǎn shā,success
跑反,pǎofǎn,pǎo fǎn,success
饥饱,jībǎo,jī bǎo,success
响鞭,xiǎngbiān,xiǎng biān,success
赔情,péiqíng,péi qíng,success
惑乱,huòluàn,huò luàn,success
响板,xiǎngbǎn,xiǎng bǎn,success
镶牙,xiāngyá,xiāng yá,success
媚骨,mèigǔ,mèi gǔ,success
抄没,chāomò,chāo mò,success
吸墨纸,xīmòzhǐ,xī mò zhǐ,success
超升,chāoshēng,chāo shēng,success
扑粉,pūfěn,pū fěn,success
畸轻畸重,jīqīng jīzhòng,jī qīng jī zhòng,success
咸盐,xiányán,xián yán,success
乞降,qǐxiáng,qǐ xiáng,success
弦索,xiánsuǒ,xián suǒ,success
杞柳,qǐliǔ,qǐ liǔ,success
下劲,xiàjìn,xià jìn,success
各有所好,gèyǒusuǒhào,gè yǒu suǒ hào,success
抽冷子,chōulěngzi,chōu lěng zi,success
耻骨,chǐgǔ,chǐ gǔ,success
赤忱,chìchén,chì chén,success
凡庸,fányōng,fán yōng,success
山核桃,shānhétao,shān hé tao,success
误听,wùtīng,wù tīng,success
怃然,wǔrán,wǔ rán,success
掉书袋,diàoshūdài,diào shū dài,success
吹拍,chuīpāi,chuī pāi,success
刺参,cìshēn,cì shēn,success
寸阴,cùnyīn,cùn yīn,success
错谬,cuòmiù,cuò miù,success
慢性子,mànxìngzi,màn xìng zi,success
地漏,dìlòu,dì lòu,success
桥桩,qiáozhuāng,qiáo zhuāng,success
递条子,dìtiáozi,dì tiáo zi,success
填方,tiánfāng,tián fāng,success
田垄,tiánlǒng,tián lǒng,success
畜圈,chùjuàn,chù juàn,success
草寇,cǎokòu,cǎo kòu,success
荤食,hūnshí,hūn shí,success
嫂夫人,sǎofūren,sǎo fū ren,success
自疚,zìjiù,zì jiù,success
浅露,qiǎnlù,qiǎn lù,success
钻工,zuàngōng,zuàn gōng,success
肉脯,ròufǔ,ròu fǔ,success
断狱,duànyù,duàn yù,success
粟子,sùzi,sù zi,success
主粮,zhǔliáng,zhǔ liáng,success
打包票,dǎbāopiào,dǎ bāo piào,success
书名号,shūmínghào,shū míng hào,success
零数,língshù,líng shù,success
摈斥,bìnchì,bìn chì,success
无奈何,wúnàihé,wú nài hé,success
膏剂,gāojì,gāo jì,success
象脚鼓,xiàngjiǎogǔ,xiàng jiǎo gǔ,success
牵记,qiānjì,qiān jì,success
按例,ànlì,àn lì,success
访旧,fǎngjiù,fǎng jiù,success
吊兰,diàolán,diào lán,success
寿酒,shòujiǔ,shòu jiǔ,success
果料,guǒliào,guǒ liào,success
管界,guǎnjiè,guǎn jiè,success
砧木,zhēnmù,zhēn mù,success
瞎聊,xiāliáo,xiā liáo,success
软水,ruǎnshuǐ,ruǎn shuǐ,success
满勤,mǎnqín,mǎn qín,success
苟且偷安,gǒuqiě tōu ān,gǒu qiě tōu ān,success
仰人鼻息,yǎngrénbíxī,yǎng rén bí xī,success
五马分尸,wǔmǎ fēnshī,wǔ mǎ fēn shī,success
骨鲠在喉,gǔgěng zàihóu,gǔ gěng zài hóu,success
连鬓胡子,liánbìn húzi,lián bìn hú zi,success
绵白糖,miánbáitáng,mián bái táng,success
雪里送炭,xuělǐ sòngtàn,xuě lǐ sòng tàn,success
流盼,liúpàn,liú pàn,success
冲澡,chōngzǎo,chōng zǎo,success
平乱,píngluàn,píng luàn,success
嗟来之食,jiēláizhīshí,jiē lái zhī shí,success
狗尾草,gǒuwěicǎo,gǒu wěi cǎo,success
遏阻,èzǔ,è zǔ,success
彩墨画,cǎimòhuà,cǎi mò huà,success
落地式,luòdìshì,luò dì shì,success
强行军,qiángxíngjūn,qiáng xíng jūn,success
调级,tiáojí,tiáo jí,success
鞍马劳顿,ānmǎ láodùn,ān mǎ láo dùn,success
自卖自夸,zìmài zìkuā,zì mài zì kuā,success
电子词典,diànzǐ cídiǎn,diàn zǐ cí diǎn,success
袅袅婷婷,niǎoniǎo tíngtíng,niǎo niǎo tíng tíng,success
阴阳人,yīnyángrén,yīn yáng rén,success
挥斥,huīchì,huī chì,success
飞短流长,fēiduǎn liúcháng,fēi duǎn liú cháng,success
桃符,táofú,táo fú,success
跑江湖,pǎojiānghú,pǎo jiāng hú,success
课间操,kèjiāncāo,kè jiān cāo,success
碾坊,niǎnfáng,niǎn fáng,success
跑码头,pǎomǎtou,pǎo mǎ tou,success
坐怀不乱,zuòhuái bùluàn,zuò huái bù luàn,success
混混儿,hùnhunr,hùn hun er,success
气胸,qìxiōng,qì xiōng,success
减压阀,jiǎnyāfá,jiǎn yā fá,success
大烟鬼,dàyānguǐ,dà yān guǐ,success
丧亡,sàngwáng,sàng wáng,success
垂髫,chuítiáo,chuí tiáo,success
邀宠,yāochǒng,yāo chǒng,success
脂肪瘤,zhīfángliú,zhī fáng liú,success
吞蚀,tūnshí,tūn shí,success
直性子,zhíxìngzi,zhí xìng zi,success
顿开茅塞,dùnkāi máosè,dùn kāi máo sè,success
穿云破雾,chuānyún pòwù,chuān yún pò wù,success
揖让,yīràng,yī ràng,success
渔人之利,yúrénzhīlì,yú rén zhī lì,success
躲懒,duǒlǎn,duǒ lǎn,success
托病,tuōbìng,tuō bìng,success
玄色,xuánsè,xuán sè,success
守望相助,shǒuwàng xiāngzhù,shǒu wàng xiāng zhù,success
船桅,chuánwéi,chuán wéi,success
裙裤,qúnkù,qún kù,success
罢演,bàyǎn,bà yǎn,success
凉丝丝,liángsīsī,liáng sī sī,success
池座,chízuò,chí zuò,success
案牍,àndú,àn dú,success
湿乎乎,shīhūhū,shī hū hū,success
挛缩,luánsuō,luán suō,success
讽谏,fěngjiàn,fěng jiàn,success
敦睦,dūnmù,dūn mù,success
害眼,hàiyǎn,hài yǎn,success
平方根,píngfānggēn,píng fāng gēn,success
西番莲,xīfānlián,xī fān lián,success
出账,chūzhàng,chū zhàng,success
冲浪板,chōnglàngbǎn,chōng làng bǎn,success
露富,lòufù,lòu fù,success
拖腔,tuōqiāng,tuō qiāng,success
坐天下,zuòtiānxià,zuò tiān xià,success
电警棍,diànjǐnggùn,diàn jǐng gùn,success
密函,mìhán,mì hán,success
不名一文,bùmíng yīwén,bù míng yī wén,success
午餐肉,wǔcānròu,wǔ cān ròu,success
石坊,shífāng,shí fāng,success
参谒,cānyè,cān yè,success
签押,qiānyā,qiān yā,success
请援,qǐngyuán,qǐng yuán,success
藏掖,cángyē,cáng yē,success
提词,tící,tí cí,success
承欢,chénghuān,chéng huān,success
呵叱,hēchì,hē chì,success
吃准,chīzhǔn,chī zhǔn,success
镜花水月,jìnghuā shuǐyuè,jìng huā shuǐ yuè,success
破罐破摔,pòguàn pòshuāi,pò guàn pò shuāi,success
拙见,zhuōjiàn,zhuō jiàn,success
明瓦,míngwǎ,míng wǎ,success
走棋,zǒuqí,zǒu qí,success
降调,jiàngdiào,jiàng diào,success
混充,hùnchōng,hùn chōng,success
九九归一,jiǔjiǔ guīyī,jiǔ jiǔ guī yī,success
路不拾遗,lùbùshíyí,lù bù shí yí,success
驭手,yùshǒu,yù shǒu,success
亮底,liàngdǐ,liàng dǐ,success
音序,yīnxù,yīn xù,success
邯郸学步,hándān xuébù,hán dān xué bù,success
平绒,píngróng,píng róng,success
戳子,chuōzi,chuō zi,success
宏才,hóngcái,hóng cái,success
陪绑,péibǎng,péi bǎng,success
搐动,chùdòng,chù dòng,success
黍子,shǔzi,shǔ zi,success
幽邃,yōusuì,yōu suì,success
虎胆,hǔdǎn,hǔ dǎn,success
天塌地陷,tiāntā dìxiàn,tiān tā dì xiàn,success
挤牙膏,jǐyágāo,jǐ yá gāo,success
胡子茬儿,húzichár,hú zi chá er,success
匀整,yúnzhěng,yún zhěng,success
集体户,jítǐhù,jí tǐ hù,success
仗恃,zhàngshì,zhàng shì,success
喷云吐雾,pēnyún tǔwù,pēn yún tǔ wù,success
豪族,háozú,háo zú,success
禅门,chánmén,chán mén,success
困兽犹斗,kùnshòu yóudòu,kùn shòu yóu dòu,success
牛刀小试,niúdāo xiǎoshì,niú dāo xiǎo shì,success
吃哑巴亏,chīyǎbakuī,chī yǎ ba kuī,success
假模假式,jiǎmó jiǎshì,jiǎ mó jiǎ shì,success
仗义疏财,zhàngyì shūcái,zhàng yì shū cái,success
不落窠臼,bùluò kējiù,bù luò kē jiù,success
窝主,wōzhǔ,wō zhǔ,success
风流云散,fēngliú yúnsàn,fēng liú yún sàn,success
粉蝶,fěndié,fěn dié,success
无以为生,wúyǐwéishēng,wú yǐ wéi shēng,success
犁杖,lízhàng,lí zhàng,success
电子汇款,diànzǐ huìkuǎn,diàn zǐ huì kuǎn,success
别有天地,biéyǒu tiāndì,bié yǒu tiān dì,success
刻舟求剑,kèzhōu qiújiàn,kè zhōu qiú jiàn,success
水火无情,shuǐhuǒ wúqíng,shuǐ huǒ wú qíng,success
将功赎罪,jiānggōng shúzuì,jiāng gōng shú zuì,success
辞让,círàng,cí ràng,success
草台班子,cǎotáibānzi,cǎo tái bān zi,success
绵里藏针,miánlǐ cángzhēn,mián lǐ cáng zhēn,success
哧溜,chīliū,chī liū,success
樟脑丸,zhāngnǎowán,zhāng nǎo wán,success
黄昏恋,huánghūnliàn,huáng hūn liàn,success
保温杯,bǎowēnbēi,bǎo wēn bēi,success
滚刀肉,gǔndāoròu,gǔn dāo ròu,success
反间计,fǎnjiànjì,fǎn jiàn jì,success
梨园戏,líyuánxì,lí yuán xì,success
私房话,sīfanghuà,sī fang huà,success
过劳死,guòláosǐ,guò láo sǐ,success
租借地,zūjièdì,zū jiè dì,success
吃大户,chīdàhù,chī dà hù,success
里程表,lǐchéngbiǎo,lǐ chéng biǎo,success
小小子,xiǎoxiǎozi,xiǎo xiǎo zi,success
姑太太,gūtàitai,gū tài tai,success
泄洪道,xièhóngdào,xiè hóng dào,success
哽噎,gěngyē,gěng yē,success
守活寡,shǒuhuóguǎ,shǒu huó guǎ,success
弹簧秤,tánhuángchèng,tán huáng chèng,success
急救箱,jíjiùxiāng,jí jiù xiāng,success
白报纸,báibàozhǐ,bái bào zhǐ,success
回归热,huíguīrè,huí guī rè,success
二鬼子,èrguǐzi,èr guǐ zi,success
锡克教,xīkèjiào,xī kè jiào,success
烂泥塘,lànnítáng,làn ní táng,success
现成饭,xiànchéngfàn,xiàn chéng fàn,success
木糖醇,mùtángchún,mù táng chún,success
织锦缎,zhījǐnduàn,zhī jǐn duàn,success
三棱镜,sānléngjìng,sān léng jìng,success
爆破手,bàopòshǒu,bào pò shǒu,success
半脱产,bàntuōchǎn,bàn tuō chǎn,success
猛不防,měngbufáng,měng bu fáng,success
