hanzi,pinyin,pos,definition_id,origin_definition_cn,definition_cn,origin_definition_en,definition_en
致,zhì,动词,54813,达到;实现,达到;实现,achieve; reach; arrive at; live up to; attain; obtain,achieve; reach; arrive at; live up to; attain; obtain
致,zhì,动词,54814,招致,招致,incur; invite; induce; bring on; lead to; beget,incur; invite; induce; bring on; lead to; beget
致,zhì,连词,54815,以致,以致,so as to; that,so as to; that
致,zhì,名词,54816,情趣,情趣,sentiment and interest,sentiment and interest
致,zhì,形容词,54817,精密;精细,精密;精细,precision; exactitude; nicety; finesse,precision; exactitude; nicety; finesse
致使,zhì shǐ,连词,1022811,由于某种原因而使得;以致,由于某种原因而使得;以致,cause; bring about; lead to; result in; render,cause; bring about; lead to; result in; render
致力于,zhì lì yú,动词,2000233,专心投入某事,专心投入某事,devote to,devote to
致辞,zhì cí,动词,1022711,在举行某种仪式时说勉励、感谢、祝贺、哀悼等的话,在举行某种仪式时说勉励、感谢、祝贺、哀悼等的话,"make or deliver a speech (of encouragement, acknowledgement, congratulations, condolences, etc.)","make or deliver a speech (of encouragement, acknowledgement, congratulations, condolences, etc.)"
臻,zhēn,动词,359611,达到(美好的境地),达到(美好的境地),attain (excellence); become better,attain (excellence); become better
臻,zhēn,动词,359612,来到,来到,arrive; come,arrive; come
臼,jiù,名词,363511,"舂米的器具,用石头或木头制成,中部凹下。","舂米的器具,用石头或木头制成,中部凹下。",mortar; stone or wooden vessel in which rice is pounded with a pestle,mortar; stone or wooden vessel in which rice is pounded with a pestle
臼,jiù,名词,363512,"形状像臼,中间凹下的","形状像臼,中间凹下的",any mortar-shaped thing,any mortar-shaped thing
舀,yǎo,动词,402711,用瓢、勺等取东西(多指液体,用瓢、勺等取东西(多指液体,oft. liquid,oft. liquid
舂,chōng,动词,431011,把东西放在石臼或乳钵里捣去皮壳或捣碎,把东西放在石臼或乳钵里捣去皮壳或捣碎,husk or pound with mortar and pestle,husk or pound with mortar and pestle
舅,jiù,名词,176611,舅父,舅父,mother's brother; maternal uncle,mother's brother; maternal uncle
舅,jiù,名词,176612,妻的弟兄,妻的弟兄,wife's brother,wife's brother
舅,jiù,名词,176613,丈夫的父亲,丈夫的父亲,husband's father,husband's father
舅父,jiù fù,名词,2050611,母亲的弟兄。,母亲的弟兄。,mother's brother; maternal uncle,mother's brother; maternal uncle
舆,yú,名词,243811,车,车,carriage; chariot,carriage; chariot
舆,yú,名词,243812,车上可以载人载物的部分。,车上可以载人载物的部分。,part of a carriage for passengers or goods,part of a carriage for passengers or goods
舆,yú,名词,243813,指轿,指轿,sedan chair,sedan chair
舆,yú,名词,243814,地,地,area; territory,area; territory
舆,yú,形容词,243815,众人的,众人的,public; popular,public; popular
舆论,yú lùn,名词,1006511,群众的言论,群众的言论,public opinion,public opinion
舌,shé,名词,166611,舌头。,舌头。,tongue,tongue
舌,shé,名词,166612,像舌头的东西,像舌头的东西,sth. shaped like a tongue,sth. shaped like a tongue
舌,shé,名词,166613,铃或铎中的锤。,铃或铎中的锤。,tongue of a bell; clapper,tongue of a bell; clapper
舌头,shé tou,名词,748511,"辨别滋味、帮助咀嚼和发音的器官,在口腔底部,根部固定在口腔底上。","辨别滋味、帮助咀嚼和发音的器官,在口腔底部,根部固定在口腔底上。","tongue; organ attached to the floor of the mouth, used in the ingestion of food, the perception of taste, and, in humans, the articulation of speech sounds","tongue; organ attached to the floor of the mouth, used in the ingestion of food, the perception of taste, and, in humans, the articulation of speech sounds"
舌头,shé tou,名词,748512,指为侦讯敌情而活捉来的敌人,指为侦讯敌情而活捉来的敌人,enemy soldier captured for the purpose of extracting information,enemy soldier captured for the purpose of extracting information
舌苔,shé tāi,名词,2016711,"舌头表面上滑腻的物质。健康的人,舌苔薄白而润。医生常根据病人舌苔的情况来诊断病情。","舌头表面上滑腻的物质。健康的人,舌苔薄白而润。医生常根据病人舌苔的情况来诊断病情。","coating on the tongue; fur; fur-like or fuzzy coating. The fur of a healthy person is thin, white and smooth. A doctor often diagnoses a patient's conditions by observing the coating on his tongue.","coating on the tongue; fur; fur-like or fuzzy coating. The fur of a healthy person is thin, white and smooth. A doctor often diagnoses a patient's conditions by observing the coating on his tongue."
舍,shě,动词,135511,舍弃,舍弃,give up; abandon,give up; abandon
舍,shě,动词,135512,施舍,施舍,give alms; dispense charity,give alms; dispense charity
舍,shè,名词,135521,房屋,房屋,house; hut,house; hut
舍,shè,名词,135522,舍间,舍间,my place,my place
舍,shè,名词,135523,养家畜的圈,养家畜的圈,shed,shed
舍,shè,名词,135524,用于对别人称自己的辈分低或年纪小的亲属,用于对别人称自己的辈分低或年纪小的亲属,[referring to one's relatives younger than or junior to oneself] my,[referring to one's relatives younger than or junior to oneself] my
舍,shè,名词,135525,(Shè)姓。,(Shè)姓。,a surname,a surname
舍,shè,名词,135526,三十里为一舍,三十里为一舍,unit of distance equal to 30 li(里),unit of distance equal to 30 li(里)
舍不得,shě bu de,动词,748611,"很爱惜,不忍放弃或离开,不愿意使用或处置",因喜爱而不忍放弃或离开，不愿使用或处置,hate to use or part with; grudge; begrudge,reluctant to part with or use
舐,shì,动词,429511,舔,用舌头接触或取物,lick,lick
舒,shū,动词,154511,伸展;宽解(拘束或憋闷状态),伸展；缓解（拘束或憋闷状态）,stretch; unfold; spread; smooth out,stretch; relieve
舒,shū,形容词,154512,缓慢;从容,缓慢；从容,easy; leisurely,leisurely
舒,shū,名词,154513,(Shū)姓。,姓氏,a surname,a surname
舒服,shū fu,形容词,600611,身体或精神上感到轻松愉快,身体或精神感到轻松愉快,comfortable; pleased; relaxed,comfortable
舒服,shū fu,形容词,600612,能使身体或精神上感到轻松愉快,能带来轻松愉快的感觉,comfortable; pleasant,pleasant
舒畅,shū chàng,形容词,957111,开朗愉快;舒服痛快,心情开朗愉快，无拘无束,happy; entirely free from worry,carefree
舒适,shū shì,形容词,754311,舒服安逸,舒服而安逸,comfortable; cosy; snug,cozy
舔,tiǎn,动词,361711,用舌头接触东西或取东西,用舌头接触或取物,lick; lap; pass the tongue over,lick
舛,chuǎn,名词,514411,差错,错误；差错,error,error
舛,chuǎn,动词,514412,违背,违反；违背,go against,violate
舛,chuǎn,形容词,514413,不顺遂;不幸,不顺遂；不幸,hard; unfortunate,unfortunate
舜,shùn,名词,363011,传说中上古帝王名。,上古帝王名,"Shun, legendary sage king in China's remote antiquity",Shun (legendary emperor)
舞,wǔ,动词,59613,拿着某种东西而舞蹈,手持物品跳舞,dance with sth. in one's hands,dance with an object
舞,wǔ,动词,59614,挥舞,挥动；舞动,wave; flourish; wield; brandish,brandish
舞,wǔ,动词,59615,耍;玩弄,玩弄；耍弄,play with,play with
舞,wǔ,动词,59616,搞;弄,方言：搞；弄,get sth. going,dialect: do
舞蹈,wǔ dǎo,名词,978211,"以有节奏的动作为主要表现手段的艺术形式,可以表现出人的生活、思想和感情,一般用音乐伴奏。",以有节奏的动作为表现手段的艺术形式,"dance; rhythmic movement of the body and feet, ordinarily to music, to represent human life, and to express human thoughts and feelings",dance
舞蹈,wǔ dǎo,动词,978212,表演舞蹈。,表演舞蹈,perform a dance,perform a dance
舟,zhōu,名词,250411,船,水上交通工具,boat,boat
舢,shān,名词,415711,"[舢板](shānbǎn)近海或江河上用桨划的小船,一般只能坐两三个人;海军用的较窄而长,一般可坐十人左右。",近海或江河上用桨划的小船,"sampan; flat-bottomed skiff usu. propelled by oars in coastal waters or rivers, large enough for two or three persons; naval sampan, having a long and narrow body, large enough for about 10 persons;",sampan
舢舨,shān bǎn,名词,2060064,一种小船,一种小型船只,sampan (small boat),sampan
航,háng,名词,114511,船。,船只,boat; ship,boat
航,háng,动词,114512,航行,在水面或空中移动,navigate (by water or air); sail; fly,navigate
航天,háng tiān,名词,867411,指人造卫星、宇宙飞船等在地球附近空间或太阳系空间飞行。,人造卫星、宇宙飞船等在太空飞行,space flight; astronautic flight; flight of man-made satellite or spacecraft near the earth or within the solar system,spaceflight
航天,háng tiān,形容词,867412,跟航天有关的,与航天相关的,aerospace; of or related to the earth's atmosphere and space beyond,aerospace
航班,háng bān,名词,626011,客轮或客机航行的班次。也指某一班次的客轮或客机。,客轮或客机的航行班次,scheduled flight (of a plane) or voyage (of a passenger liner); flight or voyage number; passenger liner or passenger plane of a scheduled number,flight
航空,háng kōng,名词,867311,指飞机在空中飞行,飞机在空中飞行,aviation; air navigation,aviation
航空,háng kōng,形容词,867312,跟飞机飞行有关的,与飞机飞行相关的,related to airplanes or air transport,aerial
航行,háng xíng,动词,867511,船在水里或飞机在空中行驶。,船或飞机在水面或空中移动,sail; fly; navigate by water or air,navigate
舫,fǎng,名词,473111,船,船只,boat,boat
般,bō,名词,43711,般bān,同“般”（bān）,,same as '般' (bān)
般,pán,形容词,43721,欢乐。,欢乐,bliss; elation,joy
般,bān,量词,43731,种;样,种类；样,"kind, same as; just like",kind
般若,bō rě,名词,2060008,佛教指智慧,佛教指智慧,(Buddhism) prajna; wisdom,prajna
舰,jiàn,名词,199611,排水量在500吨以上的军用船只;军舰,大型军用船只,warship; naval vessel; man-of-war; military vessel with a displacement of 500 tons or above,warship
舰艇,jiàn tǐng,名词,884811,各种军用船只的总称。,军用船只的总称,general term for warships; naval vessels,naval vessels
舱,cāng,名词,205611,船或飞机中分隔开来载人或装东西的部分,船或飞机中载人或装货的空间,"cabin; hold; enclosed space for temporary occupancy by people or cargo, as in a vessel or aeroplane",cabin
舵,duò,名词,330211,船、飞机等控制方向的装置,控制船或飞机方向的装置,rudder; helm,rudder
舶,bó,名词,264711,航海大船,航海用的大型船只,oceangoing ship,oceangoing ship
舷,xián,名词,349311,船、飞机等两侧的边儿,船或飞机的两侧,side of a ship or aircraft,side
船,chuán,名词,69811,水上的主要运输工具,水上运输工具,boat; ship,ship
船舶,chuán bó,名词,825711,船(总称)。,船只的总称,(collect.) boats and ships,vessels
艄,shāo,名词,463411,船尾,船的尾部,stern,stern
艄,shāo,名词,463412,舵,控制船方向的装置,rudder; helm,rudder
艇,tǐng,名词,222211,"指比较轻便的船,如游艇、救生艇等。",轻便的小船,"light boat, such as pleasure boat, yacht and lifeboat",boat
艇,tǐng,名词,222212,"排水量在500吨以下的军用船只。潜水艇无论排水量大小,习惯上都称为艇。",小型军用船只,military vessel with a displacement below 500 tons. A submarine is customarily called a ting no matter what its displacement is.,naval craft
艘,sōu,量词,257011,用于船只,用于船只的量词,for boats or ships,classifier for ships
艮,gèn,名词,496611,八卦之一，代表山。,八卦之一，象征山,"one of the Eight Diagrams, symbolized by ‘’, indicating mountain;",one of the Eight Diagrams
艮,gèn,名词,496612,(Gèn)姓。,姓氏,a surname,surname
艮,gěn,形容词,496621,(性子)直;(说话)生硬,方言中指性格直率或说话生硬,blunt; straightforward,blunt; straightforward
艮,gěn,形容词,496622,(食物)坚韧而不脆,方言中指食物坚韧不脆,(of food) tough; leathery,tough; leathery
良,liáng,形容词,73311,好,好的；优秀的,good; fine,good; fine
良,liáng,名词,73312,善良的人,善良的人,kind-hearted people,kind-hearted people
良,liáng,副词,73313,很,表示程度高，相当于“很”,very,very
良,liáng,名词,73314,(Liáng)姓。,姓氏,a surname,surname
良好,liáng hǎo,形容词,727311,令人满意;好,令人满意的；好的,good; well,good; well
良心,liáng xīn,名词,907111,"指对是非的内心的正确认识,特别是跟自己的行为有关的",对是非的内心的正确认识，尤指与自身行为相关的,conscience; feelings that one has about whether sth. related to one's own behaviour is right or wrong,conscience
艰,jiān,形容词,136611,困难,困难的,difficult; hard,difficult; hard
艰巨,jiān jù,形容词,714011,困难而繁重,困难而繁重的,arduous; formidable; difficult and heavy,arduous; formidable
艰苦,jiān kǔ,形容词,714111,艰难困苦,艰难困苦的,arduous; difficult; hard; tough,arduous; tough
艰难,jiān nán,形容词,882611,困难,困难的,difficult; hard,difficult; hard
色,sè,名词,26711,颜色,颜色,colour,colour
色,sè,名词,26712,脸上表现的神情;神色,脸上的神情或表情,countenance; look; expression,countenance; expression
色,sè,名词,26713,种类,种类,kind,kind
色,sè,名词,26714,情景;景象,情景或景象,scene; scenery,scene; scenery
色,sè,名词,26715,物品的质量,物品的质量,quality,quality
色,sè,名词,26716,指妇女美貌,妇女的美貌,feminine charms,feminine charms
色,sè,名词,26717,指情欲,情欲,lust,lust
色子,shǎi zi,名词,2060501,游戏或赌博用的立方体,游戏或赌博用的立方体,dice; cube used in games or gambling,dice
色彩,sè cǎi,名词,945011,颜色,颜色,colour; hue,colour; hue
色彩,sè cǎi,名词,945012,人的某种思想倾向或事物的某种情调,比喻人的某种思想倾向或事物的某种情调,propensity; emotional vein,propensity; emotional vein
艳,yàn,形容词,204311,色彩光泽鲜明好看,色彩鲜明好看,gorgeous; colourful; gaudy,gorgeous; colourful
艳,yàn,形容词,204312,指关于爱情方面的;香艳,与爱情相关的；香艳的,amorous,amorous
艳,yàn,动词,204313,羡慕,羡慕,envy,envy
艺,yì,名词,41911,技能;技术,技能或技术,skill,skill
艺,yì,名词,41912,艺术,艺术,art,art
艺,yì,名词,41913,准则;限度,准则或限度,limit; rule; norm,limit; rule
艺术,yì shù,名词,659011,"用形象来反映现实但比现实有典型性的社会意识形态,包括文学、绘画、雕塑、建筑、音乐、舞蹈、戏剧、电影、曲艺等。",用形象反映现实的社会意识形态，包括文学、绘画、雕塑等,"art; social ideology reflecting reality through images and being more typical than reality, including literature, painting, sculpture, architecture, music, dancing, drama, movie, etc.",art
艺术,yì shù,名词,659012,指富有创造性的方式、方法,富有创造性的方式或方法,original way of doing things; skill; art; craft,skill; craft
艺术,yì shù,形容词,659013,形状独特而美观的,形状独特美观的,conforming to good taste,artistic
艾,yì,动词,219812,惩治,惩治,punish,punish
艾,ài,名词,219821,"多年生草本植物,叶子有香气,可入药,内服可做止血剂,又供灸法上用。",多年生草本植物，叶子可入药或用于灸法,Chinese mugwort (Artemisia argyi); perennial plant with fragrant leaves that can be orally administered as a haemostatic drug or used for moxibustion.,Chinese mugwort
艾,ài,名词,219822,姓,姓氏,a surname,surname
艾,ài,名词,219823,"年老的,也指老年人",年老的或老年人,old; elderly; aged; elderly,old; elderly
艾,ài,动词,219824,停止,停止,end; stop,end; stop
艾,ài,形容词,219825,美好;漂亮,美好或漂亮,beautiful; handsome,beautiful; handsome
节,jié,名词,39421,物体各段之间相连的地方,物体各段相连的地方,joint; node; knot; gnarl; place at which separate parts join together,joint; node
节,jié,名词,39422,段落,段落,division; section; part,division; section
节,jié,量词,39423,用于分段的事物或文章,用于分段的事物或文章的量词,section; length; stanza,section; stanza
节,jié,名词,39424,节日;节气,节日或节气,festival; red-letter day; holiday; seasonal division of the year under the traditional Chinese calendar,festival; holiday
节,jié,动词,39425,删节,删节,abridge,abridge
节,jié,动词,39426,节约;节制,节约或节制,economize; save; restrain; abstain,economize; restrain
节,jié,名词,39427,事项,事项,item; matter,item; matter
节,jié,名词,39428,节操,节操,moral integrity; high moral principle,moral integrity
节,jié,名词,39429,(Jié)姓。,姓氏,a surname,surname
节,jié,名词,39430,"航海速度单位,每小时航行一海里的速度是一节。",航海速度单位，每小时一海里为一节,"knot; unit of navigation speed, equal to one nautical mile per hour",knot
节奏,jié zòu,名词,887411,音乐中交替出现的有规律的强弱、长短的现象,音乐中有规律的强弱、长短现象,"rhythm; cadence; measure or beat of music produced by strong and weak, and long and short musical notes interchanging systematically",rhythm
节奏,jié zòu,名词,887412,均匀的、有规律的工作进程,比喻均匀有规律的工作进程,even and regular work process,pace
节日,jié rì,名词,592911,"纪念日,如五一国际劳动节等。",具有纪念意义的日子，如五一国际劳动节等。,"day of commemoration, such as May Day","commemorative day, such as International Workers' Day"
节日,jié rì,名词,592912,"传统的庆祝或祭祀的日子,如清明节、中秋节等。",传统庆祝或祭祀的日子，如清明节、中秋节等。,"traditional holiday or festival; red-letter day; fete day (such as Pure Brightness Festival, Mid-Autumn Festival, etc.)","traditional festival or holiday, such as Qingming Festival, Mid-Autumn Festival"
节目,jié mù,名词,592811,文艺演出或广播电台、电视台播送的项目,文艺演出或广播电视中播出的表演项目。,programme; item (on a programme); number,program; performance item
节省,jié shěng,动词,717311,使可能被耗费掉的不被耗费掉或少耗费掉,减少不必要的消耗或浪费。,economize; save; cut down on; retrench; use sparingly; pinch,save; economize
节约,jié yuē,动词,631211,节省(多用于较大的范围,节省资源或开支（多用于较大范围）。,oft. used in a large scope,conserve (often on a large scale)
芋,yù,名词,355111,"多年生草本植物,块茎椭圆形或卵形,叶子略呈卵形,有长柄,花穗轴在苞内,雄花黄色,雌花绿色。块茎含淀粉很多,供食用。",多年生草本植物，块茎可食用，富含淀粉。,"taro (Colocasia esculenta); dasheen; perennial herb, having oval or ovate tubers, ovate leaves, long stems, spike-stalks inside its buds, yellow male flowers and green female flowers, its edible tubers rich in starch",taro; edible tuber rich in starch
芋,yù,名词,355112,这种植物的块茎。,这种植物的块茎。,tuber crops of this plant,taro tuber
芋,yù,名词,355113,泛指马铃薯、甘薯等植物,泛指马铃薯、甘薯等块茎类植物。,"potato, sweet potato, etc.","tuber crops like potato, sweet potato"
芍,sháo,名词,373411,"多年生草本植物,羽状复叶,小叶卵形或披针形,花大而美丽,有紫红、粉红、白等颜色,供观赏。根可入药。",多年生草本植物，花大而美丽，根可入药。,"Chinese herbaceous peony (Paeonia lactiflora); perennial herbaceous plant having pinnately compound leaves that are either lanceolate or oval leaflets, large and splendid flowers that are purple, pink, white, etc. and of a high ornamental value, and roots that are used for medicine",peony; ornamental flower with medicinal roots
芍,sháo,名词,373412,这种植物的花。,这种植物的花。,peony flower,peony flower
芒,máng,名词,248311,"多年生草本植物,生在山地和田野间,叶子条形,秋天茎顶生穗,黄褐色,果实多毛。",多年生草本植物，秋季结穗，果实多毛。,"Chinese silvergrass (Miscanthus sinensis); perennial herb that grows in mountains and fields, has linear leaves, in autumn bears ochre-coloured ears and hairy fruit",silvergrass; perennial grass with hairy fruit
芒,máng,名词,248312,某些禾本科植物子实的外壳上长的针状物。,某些谷物外壳上的针状物。,"awn; beard; slender, bristle-like appendage found on the spikelets of certain grasses",awn; bristle on grain husk
芗,xiāng,名词,487411,古书上指用以调味的香草。,古代用于调味的香草。,fragrant herb used as condiment as mentioned in ancient books,ancient fragrant herb for seasoning
芙蓉,fú róng,名词,2017411,木芙蓉。,木芙蓉，一种观赏植物。,cottonrose hibiscus (Hibiscus mutabilis),cottonrose hibiscus
芙蓉,fú róng,名词,2017412,荷花,荷花。,lotus (Nymphaea lotus),lotus
芜,wú,形容词,333411,草长得多而乱,杂草丛生。,overgrown with weeds,overgrown with weeds
芜,wú,名词,333412,乱草丛生的地方,杂草丛生的地方。,land overgrown with weeds,weedy land
芜,wú,形容词,333413,杂乱(多指文辞,杂乱（多指文辞）。,oft. referring to diction,disordered (often of writing)
芜菁,wú jīng,名词,2016911,"二年生草本植物,块根肉质,白色或红色,扁球形或长形,叶子狭长,有大缺刻,花黄色。块根可做蔬菜。",二年生草本植物，块根可作蔬菜。,"turnip (Brassica rapa); biennial herbal plant of the crucifer family, with long, narrow, deeply incised leaves, yellow flowers, long or flat-rounded, white or red, fleshy root used as a vegetable",turnip; edible root vegetable
芜菁,wú jīng,名词,2016912,这种植物的块根。,这种植物的块根。,root of the plant,turnip root
芝,zhī,名词,243511,古书上指灵芝。,古代所指的灵芝。,glossy ganoderma,glossy ganoderma (ancient term)
芝,zhī,名词,243512,古书上指白芷。,古代所指的白芷。,root of dahurian angelica (Angelica dahurica) as recorded in ancient books,dahurian angelica (ancient term)
芟,shān,动词,546811,割(草)。,割草。,mow,mow grass
芟,shān,动词,546812,除去,去除。,weed out; eliminate,eliminate
芥,jiè,名词,364311,芥菜,芥菜。,leaf mustard,leaf mustard
芥,jiè,名词,364312,"小草,比喻轻微纤细的事物",小草，比喻微小的事物。,grass;sth. fine and small,tiny grass; metaphor for trivial things
芦,lú,名词,199311,芦苇,芦苇。,reed,reed
芦,lú,名词,199312,(Lú)姓。,姓氏。,a surname,surname
芨芨草,jī jī cǎo,名词,2060096,一种多年生草本植物,一种多年生草本植物。,achnatherum splendens (a grass),achnatherum grass
芩,qín,名词,440711,古书上指芦苇一类的植物。,古代指芦苇类植物。,reeds in ancient books,ancient term for reed-like plants
芬,fēn,名词,212011,香气,香气。,fragrance; perfume,fragrance
芭,bā,名词,259011,古书上说的一种香草。,古代文献中记载的香草。,fragrant plant mentioned in ancient texts,fragrant plant in ancient texts
芮,ruì,名词,510811,姓。,姓氏。,a surname,surname
芯,xìn,名词,314421,"装在器物中心的捻子、消息儿等的东西,如蜡烛的捻子、爆竹的引线等。",器物中心的捻子或引线。,fuse (as in a firecracker); wick (as in a candle),wick; fuse
芯,xìn,名词,314422,蛇的舌头。,蛇的舌头。,forked tongue of a snake,snake's tongue
花,huā,名词,32614,"烟火的一种,以黑色火药加别种化学物质制成,在夜间燃放,能喷出许多火花,供人观赏",夜间燃放的观赏烟火。,"firework, container filled with black powder and other explosive or flammable substances, for producing a dazzling display of sparks at night",firework
花,huā,形容词,32616,用花或花纹装饰的,用花或花纹装饰的。,coloured; flower-decorated,decorated with flowers
花,huā,形容词,32617,颜色或种类错杂的,颜色或种类混杂的。,multicoloured; coloured; variegated,multicolored
花,huā,形容词,32618,(眼睛)模糊迷乱,视觉模糊。,(of eyes) blurred; dim,blurred vision
花,huā,形容词,32619,衣服磨损或要破没破的样子,衣物磨损但未破的状态。,(of clothes) worn and torn but not yet worn-out,worn but not torn
花,huā,形容词,32620,用来迷惑人的;不真实或不真诚的,虚假或不真诚的。,attractive but unreal or insincere,deceptive; insincere
花,huā,名词,32621,事业的精华,事业的精华。,cream; essence,essence of achievement
花,huā,名词,32622,年轻漂亮的女子,年轻漂亮的女子。,pretty young woman,pretty young woman
花,huā,名词,32623,指妓女或跟妓女有关的,指妓女或相关事物。,used metaphorically for courtesans or prostitutes,related to prostitutes
花,huā,名词,32624,指棉花,棉花。,cotton,cotton
花,huā,名词,32626,指某些幼小动物,某些幼小动物。,pup,young animal
花,huā,名词,32628,作战时受的外伤,作战时的外伤。,wound,combat wound
花,huā,名词,32629,(Huā)姓。,姓氏。,a surname,surname
花,huā,动词,32630,用;耗费,使用或耗费。,spend; expend,spend; consume
花园,huā yuán,名词,2060347,种植花草的园地,种植花草的园地。,garden; plot for growing flowers,flower garden
花瓣,huā bàn,名词,871611,"花冠的组成部分之一,构造和叶子相似,但细胞里含有各种不同的色素,所以有各种不同的颜色。",花朵的组成部分，形状类似叶子，因含有不同色素而呈现各种颜色。,"petal; one of the modified leaves of the corolla of a flower, with varied pigments contained in the cell, hence petals of different colours;",petal
芳,fāng,形容词,154311,香,香气宜人的。,fragrant; sweet-smelling,fragrant
芳,fāng,名词,154312,花卉,花草的总称。,flowers and grass,flowers and plants
芳,fāng,形容词,154313,美好的(德行、名声),形容德行或名声美好。,good (conduct or reputation); virtuous,virtuous
芳,fāng,形容词,154314,用于对方或跟对方有关的事物,敬辞，用于指称对方或与对方相关的事物。,[referring to things related to one's counterpart],[honorific for counterpart]
芳,fāng,名词,154315,(Fāng)姓。,姓氏。,a surname,a surname
芸香,yún xiāng,名词,2045111,"多年生草本植物,茎直立,叶子互生,羽状分裂,裂片长圆形,花黄色,果实为蒴果。全草有香气,可入药。",一种芳香草本植物，茎直立，羽状叶，黄花，全株可药用。,"rue (Ruta); perennial herb, having erect stems, alternate pinnated oval leaves with ovate lobes, and yellow flowers that yield capsules. The whole plant is fragrant, and can be used as medicine.",rue
芹,qín,名词,313211,芹菜,指芹菜。,celery,celery
芽,yá,名词,157711,植物刚长出来的可以发育成茎、叶或花的部分,植物新生可发育成茎、叶或花的幼体。,sprout; shoot,sprout
芽,yá,名词,157712,形状像芽的东西,形状类似植物芽的结构。,sth. that looks like a sprout,bud-like structure
芾,fú,形容词,514021,草木茂盛。,形容草木生长旺盛。,lush; luxuriant,lush
苄,biàn,名词,534511,[苄基](biànjī)苯甲基。,指苄基，即苯甲基。,benzyl,benzyl
苇,wěi,名词,257311,芦苇。,芦苇的简称。,reed,reed
苋菜,xiàn cài,名词,2047811,"一年生草本植物,茎细长,叶子椭圆形,有长柄,暗紫色或绿色,花绿白色,种子黑色。茎和叶子是普通蔬菜。",一年生蔬菜植物，茎叶可食，常见有紫绿两色。,"amaranth; three-coloured amaranth (Amaranthus tricolor); annual herbaceous plant with a long slender stem, dark purple or green elliptical long-stalked leaves, greenish-white flowers, black seeds, both stem and leaves used as vegetable",amaranth
苍,cāng,形容词,177211,青色(包括蓝和绿),青绿色或蓝色。,dark green or blue,dark green/blue
苍,cāng,形容词,177212,灰白色,灰白色。,grey; ashen,grey
苍,cāng,名词,177213,指天或天空,天空的代称。,blue sky; sky above,sky
苍,cāng,名词,177214,(Cāng)姓。,姓氏。,a surname,a surname
苍白,cāng bái,形容词,814011,白而略微发青;灰白,白中泛青的颜色。,pale; pallid; wan,pale
苍白,cāng bái,形容词,814012,形容没有旺盛的生命力,形容缺乏生气的状态。,lifeless; flat; dull; colourless,lifeless
苎,zhù,名词,543311,"多年生草本植物,茎直立,高可达7尺,叶子互生,卵圆形或心脏形,花绿色,单性,雌雄同株。茎皮纤维洁白有光泽,拉力和耐热力强,是纺织工业的重要原料。",重要纺织原料植物，茎皮纤维强韧有光泽。,"ramie (Boehmeria nivea); herbaceous monoecious perennial that grows as tall as 7 chi, with oval, alternate leaves, and green unisexual flowers. Its bast fibre is white and lustrous, with a high tensile strength and heat tolerance, and is an important raw material in the textile industry.",ramie
苎,zhù,名词,543312,这种植物的茎皮纤维。,这种植物的茎皮纤维。,bast fibre of this plant,ramie fiber
苏,sū,名词,70711,植物名,植物名,perilla; beefsteak plant,perilla
苏,sū,名词,70712,指须状下垂物,指须状下垂物,beard-shaped pendant,tassel
苏,sū,动词,70713,苏醒,从昏迷中恢复知觉。,revive; come to,revive
苏,sū,名词,70714,指江苏苏州,苏州的简称。,"short for Suzhou, a city in Jiangsu Province",Suzhou
苏,sū,名词,70715,姓。,姓氏。,a surname,a surname
苏,sū,名词,70717,指苏维埃,苏维埃的简称。,short for Soviet,Soviet
苏,sū,名词,70718,(Sū)指苏联。,苏联的简称。,short for the former Soviet Union (Union of Soviet Socialist Republics),USSR
苏醒,sū xǐng,动词,960511,昏迷后醒过来,从昏迷状态恢复意识。,revive; regain consciousness; come to; come round,regain consciousness
苑,yuàn,名词,324211,养禽兽植林木的地方(多指帝王的花园,古代帝王饲养禽兽、种植林木的园地。,oft. referring to an imperial garden,imperial garden
苑,yuàn,名词,324212,(学术、文艺)荟萃之处,学术文艺的集中地。,"(learning, art) centre",cultural center
苑,yuàn,名词,324213,(Yuàn)姓。,姓氏。,a surname,a surname
苔,tái,名词,272711,"苔藓植物的一纲,属于这一纲的植物,根、茎、叶的区别不明显,绿色,生长在阴湿的地方。",阴湿处生长的绿色苔藓类植物。,"liverwort; small leafy or thalloid bryophyte of the class Hepaticae, green in colour and growing in shady and damp places, with indistinct difference between root, stem and leaves",liverwort
苕,tiáo,名词,463511,古书上指凌霄花。,古籍记载的凌霄花别名。,Chinese trumpet creeper (Campsis grandiflora) as described in ancient books,Chinese trumpet creeper
苕,sháo,名词,463521,甘薯。,方言中指甘薯。,sweet potato;,sweet potato
苗,miáo,名词,115612,后代,家族的后代。,offspring,descendant
苗,miáo,名词,115613,某些初生的饲养的动物,某些动物的幼崽。,young of some animals,young animal
苗,miáo,名词,115614,疫苗,疫苗的简称。,vaccine,vaccine
苗,miáo,名词,115616,(Miáo)姓。,姓氏。,a surname,a surname
苗条,miáo tiao,形容词,732011,(妇女身材)细长柔美。,形容女性身材纤细优美。,(of a woman's figure) slender; slim,slim
苗条,miáo tiáo,形容词,2000095,身材纤细修长,身材修长纤细。,slim,slender
苛,kē,形容词,316511,苛刻;过于严厉,要求过于严厉。,harsh; stringent; exacting,harsh
